Posición,Cantón,Provincia,Cantón.n.º,Área.km²,Total.Hombres,Total.Mujeres,Población.Total,Densidad.Población
1,San José,San José,1,44.62,136371,151683,351 958,"7887,9"
2,Alajuela,Alajuela,1,388.43,125773,129113,321 872,"828,65"
3,Desamparados,San José,3,118.26,99974,108437,249 367,"2108,63"
4,San Carlos,Alajuela,10,3347.98,82048,81697,206 115,"61,56"
5,Cartago,Cartago,1,287.77,72491,75407,166 204,"577,56"
6,Pococí,Limón,2,2403.49,63273,62689,154 674,"71,01"
7,Heredia,Heredia,1,282.60,58667,64949,146 020,"516,7"
8,Puntarenas,Puntarenas,1,1842.33,57246,57773,143 875,"78,09"
9,Pérez Zeledón,San José,19,1905.51,65389,69145,143 282,"75,19"
10,Goicoechea,San José,8,31.50,54269,60815,140 764,"4468,7"
11,La Unión,Cartago,3,44.83,47946,51453,114 615,"2556,66"
12,Limón,Limón,1,1765.79,45744,48671,100 236,"56,77"
13,Alajuelita,San José,10,21.17,37347,40256,97 158,"4589,42"
14,San Ramón,Alajuela,2,1018.64,39549,41017,95 794,"94,04"
15,Sarapiquí,Heredia,10,2140.54,29057,28090,87 687,"40,96"
16,Tibás,San José,13,8.15,30264,34578,86 065,10 560.12
17,Curridabat,San José,18,15.95,30590,34616,80 677,"5058,12"
18,Grecia,Alajuela,3,141.52,32415,33409,79 672,"201,33"
19,Liberia,Guanacaste,1,1436.47,30841,32146,79 610,"55,42"
20,Turrialba,Cartago,5,1642.67,34415,35201,73 546,"44,77"
21,Vázquez de Coronado,San José,11,222.20,29147,31339,72 932,272.21
22,Santa Cruz,Guanacaste,3,1312.27,27283,27821,71 284,41.99
23,Escazú,San José,2,34.39,26660,29849,71 202,1643.18
24,Siquirres,Limón,3,860.19,28755,28031,65 673,66.02
25,Aserrí,San José,6,167.10,28330,29562,64 480,346.45
26,Paraíso,Cartago,2,411.91,28268,29475,63 796,140.18
27,Moravia,San José,14,28.62,26741,30178,63 259,1988.78
28,Montes de Oca,San José,15,15.16,22910,26222,62 844,3240.90
29,Santa Ana,San José,9,61.42,23499,25624,61 853,799.79
30,Nicoya,Guanacaste,2,1333.68,24987,25838,57 624,38.11
31,Guácimo,Limón,6,576.48,20618,20648,57 021,"71,14"
32,San Rafael,Heredia,5,48.39,22424,23541,56 560,949.89
33,Upala,Alajuela,13,1580.67,22021,21932,55 466,"35,09"
34,Buenos Aires,Puntarenas,3,2384.22,22809,22435,54 782,"22,98"
35,Corredores,Puntarenas,10,620.60,20720,21111,53 484,"86,18"
36,Oreamuno,Cartago,7,202.31,22237,23236,50 595,"250,09"
37,Santo Domingo,Heredia,3,24.84,19479,20593,49 835,"2006,24"
38,Naranjo,Alajuela,6,126.62,20903,21810,49 764,"393,02"
39,Barva,Heredia,2,53.80,19880,20780,48 190,"895,72"
40,Carrillo,Guanacaste,5,577.54,18598,18524,47 756,"82,69"
41,Matina,Limón,5,772.64,19592,18129,47 391,"61,34"
42,El Guarco,Cartago,8,167.69,21057,20736,46 959,"280,03"
43,Golfito,Puntarenas,7,1753.96,19799,19351,46 523,"33,4"
48,Talamanca,Limón,4,2809.93,15658,15054,44 802,"15,94"
44,Coto Brus,Puntarenas,8,933.91,19127,19326,44 280,"47,41"
45,Santa Bárbara,Heredia,4,53.21,17877,18366,43 878,"824,62"
46,Palmares,Alajuela,7,38.06,17106,17610,41 805,"1098,4"
51,Esparza,Puntarenas,2,216.80,14074,14570,39 244,"181,01"
47,Puriscal,San José,4,553.00,16565,16439,38 593,"69,71"
50,Poás,Alajuela,8,73.84,14508,14691,34 926,473
49,Osa,Puntarenas,5,1930.24,15038,14395,31 383,"16,26"
52,San Pablo,Heredia,9,7.53,13344,14327,"27,671",3674.77
53,Quepos,Puntarenas,6,543.77,13829,13032,"26,861",49.40
54,Mora,San José,7,162.04,12714,13580,"26,294",162.27
55,Cañas,Guanacaste,6,682.20,12910,13291,"26,201",38.41
56,Atenas,Alajuela,5,127.19,12737,12723,"25,460",200.17
57,Los Chiles,Alajuela,14,1358.86,12125,11610,"23,735",17.47
58,Belén,Heredia,7,12.15,10495,11138,"21,633",1780.49
59,San Isidro,Heredia,6,26.96,10212,10421,"20,633",765.32
60,Orotina,Alajuela,9,141.92,9982,10359,"20,341",143.33
61,Acosta,San José,12,342.24,10217,9992,"20,209",59.05
62,Flores,Heredia,8,6.96,9811,10226,"20,037",2878.88
63,Tilarán,Guanacaste,8,638.39,9736,9904,"19,640",30.76
64,Bagaces,Guanacaste,4,1273.49,9854,9682,"19,536",15.34
65,La Cruz,Guanacaste,10,1383.90,9440,9741,"19,181",13.86
66,Sarchí,Alajuela,12,120.25,8881,9204,"18,085",150.40
67,Abangares,Guanacaste,7,675.76,9014,9025,"18,039",26.69
68,Garabito,Puntarenas,11,316.31,8644,8585,"17,229",54.47
69,Tarrazú,San José,5,297.50,8091,8189,"16,280",54.72
70,Parrita,Puntarenas,9,478.79,8235,7880,"16,115",33.66
71,Guatuso,Alajuela,15,758.32,7886,7622,"15,508",20.45
72,Jiménez,Cartago,4,286.43,7294,7375,16 361,51.21
78,Río Cuarto,Alajuela,16,254.20,5723,5.351,16 510,43.56
73,Alvarado,Cartago,6,81.06,7165,7147,15 615,176.56
74,Montes de Oro,Puntarenas,4,244.76,6438,6512,14 587,52.91
75,Zarcero,Alajuela,11,155.13,6103,6102,14 629,78.68
77,León Cortés Castro,San José,20,120.80,6140,6060,13 990,100.99
78,Puerto Jiménez,Puntarenas,NA,NA,NA,NA,12 836,"17,76"
79,Nandayure,Guanacaste,9,565.59,5669,5452,11 838,19.66
80,Hojancha,Guanacaste,11,261.42,3656,3541,8085,27.53
81,Dota,San José,17,400.22,3399,3549,8041,17.36
82,San Mateo,Alajuela,4,125.90,3128,3008,7276,48.74
83,Turrubares,San José,16,415.29,2852,2660,7031,13.27
84,Monteverde,San José,NA,NA,NA,NA,4943,"93,18"
Totales,NA,NA,NA,51 100.00,2106063,2195649,5 226 362,84.18
